Serial No,Roll No,CT,MID,Total
103,24BT10016,38,89,127
39,24AG10038,40,85,125
65,24AG10065,40,85,125
62,24AG10062,40,81,121
22,24AG10020,37,84,121
75,24AG10075,38,82.5,120.5
109,24BT10022,39,80,119
111,24BT10024,38,81,119
66,24AG10066,40,78,118
115,24BT10028,39,78.5,117.5
178,24EX10025,38,79,117
142,24BT10055,37,80,117
173,24EX10020,37,79,116
126,24BT10039,39,74,113
144,24BT10057,39,74,113
182,24EX10029,38,75,113
119,24BT10032,40,72.5,112.5
127,24BT10040,37,75.5,112.5
108,24BT10021,35,77.5,112.5
61,24AG10061,36,75.5,111.5
162,24EX10009,35,75,110
190,24EX10038,39,70,109
169,24EX10016,39,69.5,108.5
67,24AG10067,37,71.5,108.5
135,24BT10048,39,68.5,107.5
107,24BT10020,36,71.5,107.5
38,24AG10037,40,67,107
84,24AG10085,37,70,107
181,24EX10028,38,68.5,106.5
57,24AG10057,37,69.5,106.5
110,24BT10023,40,66,106
94,24BT10007,39,67,106
13,24AG10011,39,66.5,105.5
77,24AG10078,37,68,105
99,24BT10012,36,69,105
140,24BT10053,39,65.5,104.5
44,24AG10044,36,68,104
88,24AG10089,39,64,103
89,24AG10090,40,62.5,102.5
192,24EX10040,39,63.5,102.5
10,24AG10008,37,65.5,102.5
123,24BT10036,39,63,102
146,24BT10059,37,65,102
16,24AG10014,37,64.5,101.5
56,24AG10056,37,64.5,101.5
31,24AG10030,35,65.5,100.5
30,24AG10029,34,66.5,100.5
74,24AG10074,40,60,100
97,24BT10010,37,63,100
147,24BT10061,37,63,100
129,24BT10042,32,68,100
18,24AG10016,31,69,100
81,24AG10082,38,61.5,99.5
114,24BT10027,40,59,99
96,24BT10009,33,65.5,98.5
175,24EX10022,38,59,97
100,24BT10013,28,69,97
87,24AG10088,38,58.5,96.5
136,24BT10049,35,61.5,96.5
47,24AG10047,33,63.5,96.5
184,24EX10031,37,58.5,95.5
40,24AG10039,34,61.5,95.5
113,24BT10026,39,56,95
48,24AG10048,40,54.5,94.5
168,24EX10015,34,60.5,94.5
69,24AG10069,35,58.5,93.5
163,24EX10010,29,64.5,93.5
11,24AG10009,34,59,93
86,24AG10087,32,61,93
27,24AG10026,39,53,92
194,24EX10042,35,56.5,91.5
139,24BT10052,36,55,91
105,24BT10018,35,56,91
50,24AG10050,29,62,91
90,24BT10002,28,63,91
154,24EX10001,32,58.5,90.5
133,24BT10046,38,51,89
45,24AG10045,35,54,89
4,24AG10002,28,61,89
177,24EX10024,32,56.5,88.5
159,24EX10006,39,49,88
78,24AG10079,38,50,88
165,24EX10012,35,53,88
7,24AG10005,31,57,88
2,23ME10017,29,59,88
158,24EX10005,29,59,88
70,24AG10070,31,56,87
171,24EX10018,34,52.5,86.5
1,22AG10042,33,53,86
23,24AG10021,34,51.5,85.5
153,24BT10069,31,54,85
143,24BT10056,39,45,84
